Type,Sample_id,participant,TOTAL_READS,PF_READS,READ_LENGTH,TOTAL_BASES,PF_BASES,Q20_BASES,PF_Q20_BASES,Q30_BASES,PF_Q30_BASES,Q20_EQUIVALENT_YIELD,PF_Q20_EQUIVALENT_YIELD
Tumor,51_DM,05BR016,170697878,170697878,133,22792946029,22792946029,22517360553,22517360553,21428231842,21428231842,33358600156,33358600156
Normal,51_DN,05BR016,210366364,210366364,130,27540968046,27540968046,27273166840,27273166840,25978626037,25978626037,40386887408,40386887408
Tumor,58_DM_R,06BR003,162745002,162745002,131,21464921794,21464921794,21095138227,21095138227,20085035122,20085035122,31321608555,31321608555
Normal,58_DN_R,06BR003,183613298,183613298,130,23973958602,23973958602,23747158752,23747158752,22609180917,22609180917,35164838606,35164838606
Tumor,59_DM,06BR005,161104450,161104450,131,21106247967,21106247967,20814652202,20814652202,19761453184,19761453184,30831168104,30831168104
Normal,59_DN,06BR005,192021094,192021094,128,24765824853,24765824853,24465479531,24465479531,23306081174,23306081174,36258266444,36258266444
Tumor,60_DM,06BR006,209362246,209362246,131,27520055126,27520055126,27161038427,27161038427,25792305657,25792305657,40222623990,40222623990
Normal,60_DN,06BR006,147839560,147839560,121,18012896718,18012896718,17735145627,17735145627,16784648927,16784648927,26257704469,26257704469
Tumor,66_DM_R,11BR003,178128408,178128408,130,23308245552,23308245552,23112976560,23112976560,21941800111,21941800111,34180322206,34180322206
Normal,66_DN_R,11BR003,224786638,224786638,130,29235159102,29235159102,28892001541,28892001541,27520157135,27520157135,42823285224,42823285224
Tumor,67_DM,11BR009,162472704,162472704,125,20418437128,20418437128,20177215482,20177215482,19149294638,19149294638,29866003201,29866003201
Normal,67_DN,11BR009,177582682,177582682,130,23143264813,23143264813,22841708412,22841708412,21762750225,21762750225,33864318799,33864318799
Tumor,73_DM,01BR030,178335048,178335048,139,24796749456,24796749456,24339085583,24339085583,23383258899,23383258899,36237417212,36237417212
Normal,73_DN,01BR030,224776502,224776502,143,32336623902,32336623902,32017980469,32017980469,31348313308,31348313308,47837194139,47837194139
Tumor,74_DM,01BR031,215154418,215154418,140,30159481205,30159481205,29845924481,29845924481,29313115499,29313115499,44646170813,44646170813
Normal,74_DN,01BR031,179188340,179188340,138,24842275371,24842275371,24377862400,24377862400,23390149394,23390149394,36283897497,36283897497
Tumor,75_DM,01BR032,196614816,196614816,134,26373014065,26373014065,26004122076,26004122076,25341470466,25341470466,38846354828,38846354828
Normal,75_DN,01BR032,193828888,193828888,134,26000743182,26000743182,25676997729,25676997729,25024630327,25024630327,38338712657,38338712657
